FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	189	140	616	453	ScreenRec
1	448	80	521	438	ScreenRec
2	667	249	553	438	ScreenRec
3	1066	159	584	486	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
4	1225	140	791	859	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
5	1365	219	551	450	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
6	1584	299	758	648	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
7	1883	239	407	498	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
8	2123	179	466	371	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
9	2302	239	743	395	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
10	2541	140	604	417	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
11	2681	319	421	425	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
12	3000	219	278	546	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
13	3219	239	445	655	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
14	3458	199	302	528	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
15	3658	518	436	693	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
16	4176	239	485	702	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
17	4415	199	753	444	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
18	4615	160	693	435	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
19	4774	279	851	429	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
20	5053	618	871	657	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
21	5671	140	889	881	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
22	5811	219	295	495	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
23	6030	538	279	553	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
24	6569	200	360	206	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
25	6768	399	489	257	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
26	7167	180	462	314	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
27	7346	219	740	414	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
28	7566	219	875	430	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
29	7785	299	702	382	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
30	8084	180	780	368	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
31	8263	140	860	372	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
32	8403	199	692	408	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
33	8602	179	806	405	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
34	8782	279	856	415	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
35	9061	219	890	625	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
36	9280	518	681	433	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
37	9798	239	780	430	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
38	10038	359	908	433	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
39	10397	279	674	448	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
40	10676	199	701	895	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
41	10875	160	683	943	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
42	11035	239	328	917	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
43	11274	199	771	386	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
